,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College,Tm,Link
2,17.0,Tari Eason,PF,6-8,216,"May 10, 2001",us,R,"Cincinnati, LSU",HOU,https://www.basketball-reference.com/players/e/easonta01.html
3,3.0,Kevin Porter Jr.,PG,6-4,203,"May 4, 2000",us,3,USC,HOU,https://www.basketball-reference.com/players/p/porteke02.html
4,1.0,Jabari Smith Jr.,PF,6-10,220,"May 13, 2003",us,R,Auburn,HOU,https://www.basketball-reference.com/players/s/smithja05.html
5,16.0,Usman Garuba,PF,6-8,220,"March 9, 2002",es,1,,HOU,https://www.basketball-reference.com/players/g/garubus01.html
6,28.0,Alperen Şengün,C,6-9,235,"July 25, 2002",tr,1,,HOU,https://www.basketball-reference.com/players/s/sengual01.html
7,15.0,Daishen Nix,PG,6-5,224,"February 13, 2002",us,1,,HOU,https://www.basketball-reference.com/players/n/nixda01.html
8,10.0,Eric Gordon,SG,6-3,215,"December 25, 1988",us,14,Indiana,HOU,https://www.basketball-reference.com/players/g/gordoer01.html
9,25.0,Garrison Mathews,SG,6-5,215,"October 24, 1996",us,3,Lipscomb,HOU,https://www.basketball-reference.com/players/m/mathega01.html
10,9.0,Josh Christopher,SG,6-5,215,"December 8, 2001",us,1,Arizona State,HOU,https://www.basketball-reference.com/players/c/chrisjo01.html
11,20.0,Bruno Fernando,C,6-9,240,"August 15, 1998",ao,3,Maryland,HOU,https://www.basketball-reference.com/players/f/fernabr01.html
12,51.0,Boban Marjanović,C,7-3,290,"August 15, 1988",rs,7,,HOU,https://www.basketball-reference.com/players/m/marjabo01.html
13,0.0,TyTy Washington Jr.,PG,6-3,197,"November 15, 2001",us,R,Kentucky,HOU,https://www.basketball-reference.com/players/w/washity02.html
14,8.0,Jae'Sean Tate,SF,6-4,230,"October 28, 1995",us,2,Ohio State,HOU,https://www.basketball-reference.com/players/t/tateja01.html
15,12.0,Trevor Hudgins,PG,6-0,180,"March 23, 1999",us,R,Northwest Missouri State University,HOU,https://www.basketball-reference.com/players/h/hudgitr01.html
16,,Darius Days,PF,6-7,245,"October 20, 1999",us,R,LSU,HOU,https://www.basketball-reference.com/players/d/daysda01.html
0,24.0,Buddy Hield,SG,6-4,220,"December 17, 1992",bs,6,Oklahoma,IND,https://www.basketball-reference.com/players/h/hieldbu01.html
1,0.0,Bennedict Mathurin,SG,6-6,210,"June 19, 2002",ca,R,Arizona,IND,https://www.basketball-reference.com/players/m/mathube01.html
2,25.0,Jalen Smith,PF,6-10,215,"March 16, 2000",us,2,Maryland,IND,https://www.basketball-reference.com/players/s/smithja04.html
3,0.0,Tyrese Haliburton,PG,6-5,185,"February 29, 2000",us,2,Iowa State,IND,https://www.basketball-reference.com/players/h/halibty01.html
4,9.0,T.J. McConnell,PG,6-1,190,"March 25, 1992",us,7,"Duquesne, Arizona",IND,https://www.basketball-reference.com/players/m/mccontj01.html
5,23.0,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us,2,Vanderbilt,IND,https://www.basketball-reference.com/players/n/nesmiaa01.html
6,2.0,Andrew Nembhard,SG,6-5,193,"January 16, 2000",ca,R,"Florida, Gonzaga",IND,https://www.basketball-reference.com/players/n/nembhan01.html
7,12.0,Oshae Brissett,SF,6-7,210,"June 20, 1998",ca,3,Syracuse,IND,https://www.basketball-reference.com/players/b/brissos01.html
8,33.0,Myles Turner,C,6-11,250,"March 24, 1996",us,7,Texas,IND,https://www.basketball-reference.com/players/t/turnemy01.html
9,22.0,Isaiah Jackson,PF,6-10,206,"January 10, 2002",us,1,Kentucky,IND,https://www.basketball-reference.com/players/j/jacksis01.html
10,21.0,Terry Taylor,SG,6-5,230,"September 23, 1999",us,1,Austin Peay State University,IND,https://www.basketball-reference.com/players/t/taylote01.html
11,88.0,Goga Bitadze,C,6-11,250,"July 20, 1999",ge,3,,IND,https://www.basketball-reference.com/players/b/bitadgo01.html
12,3.0,Chris Duarte,SF,6-6,190,"June 13, 1997",ca,1,Oregon,IND,https://www.basketball-reference.com/players/d/duartch01.html
13,16.0,James Johnson,PF,6-7,240,"February 20, 1987",us,13,Wake Forest,IND,https://www.basketball-reference.com/players/j/johnsja01.html
14,10.0,Kendall Brown,SG,6-8,205,"May 11, 2003",us,R,Baylor,IND,https://www.basketball-reference.com/players/b/brownke03.html
15,8.0,Trevelin Queen,PG,6-6,190,"February 25, 1997",us,1,"College of Marin, New Mexico Military Institute, New Mexico State",IND,https://www.basketball-reference.com/players/q/queentr01.html
16,,Daniel Theis,C,6-8,245,"April 4, 1992",de,5,,IND,https://www.basketball-reference.com/players/t/theisda01.html
0,33.0,Nicolas Batum,PF,6-8,230,"December 14, 1988",fr,14,,LAC,https://www.basketball-reference.com/players/b/batumni01.html
1,14.0,Terance Mann,SG,6-5,215,"October 18, 1996",us,3,Florida State,LAC,https://www.basketball-reference.com/players/m/mannte01.html
2,40.0,Ivica Zubac,C,7-0,240,"March 18, 1997",ba,6,,LAC,https://www.basketball-reference.com/players/z/zubaciv01.html
3,8.0,Marcus Morris,PF,6-8,218,"September 2, 1989",us,11,Kansas,LAC,https://www.basketball-reference.com/players/m/morrima03.html
4,1.0,Reggie Jackson,PG,6-2,208,"April 16, 1990",it,11,Boston College,LAC,https://www.basketball-reference.com/players/j/jacksre01.html
5,7.0,Amir Coffey,SG,6-7,210,"June 17, 1997",us,3,Minnesota,LAC,https://www.basketball-reference.com/players/c/coffeam01.html
6,11.0,John Wall,PG,6-3,210,"September 6, 1990",us,10,Kentucky,LAC,https://www.basketball-reference.com/players/w/walljo01.html
7,13.0,Paul George,SF,6-8,220,"May 2, 1990",us,12,Fresno State,LAC,https://www.basketball-reference.com/players/g/georgpa01.html
8,24.0,Norman Powell,SG,6-3,215,"May 25, 1993",us,7,UCLA,LAC,https://www.basketball-reference.com/players/p/powelno01.html
9,9.0,Moses Brown,C,7-2,245,"October 13, 1999",us,3,UCLA,LAC,https://www.basketball-reference.com/players/b/brownmo01.html
10,5.0,Luke Kennard,SG,6-5,206,"June 24, 1996",us,5,Duke,LAC,https://www.basketball-reference.com/players/k/kennalu01.html
11,23.0,Robert Covington,PF,6-7,209,"December 14, 1990",us,9,Tennessee State,LAC,https://www.basketball-reference.com/players/c/covinro01.html
12,2.0,Kawhi Leonard,SF,6-7,225,"June 29, 1991",us,10,San Diego State,LAC,https://www.basketball-reference.com/players/l/leonaka01.html
13,4.0,Brandon Boston Jr.,SG,6-7,185,"November 28, 2001",us,1,Kentucky,LAC,https://www.basketball-reference.com/players/b/bostobr01.html
14,25.0,Moussa Diabaté,PF,6-11,210,"January 21, 2002",fr,R,Michigan,LAC,https://www.basketball-reference.com/players/d/diabamo01.html
15,0.0,Jason Preston,PG,6-4,187,"August 10, 1999",us,R,Ohio University,LAC,https://www.basketball-reference.com/players/p/prestja01.html
0,15.0,Austin Reaves,SG,6-5,206,"May 29, 1998",us,1,"Wichita State, Oklahoma",LAL,https://www.basketball-reference.com/players/r/reaveau01.html
1,0.0,Russell Westbrook,PG,6-3,200,"November 12, 1988",us,14,UCLA,LAL,https://www.basketball-reference.com/players/w/westbru01.html
2,4.0,Lonnie Walker IV,SG,6-4,204,"December 14, 1998",us,4,Miami (FL),LAL,https://www.basketball-reference.com/players/w/walkelo01.html
3,7.0,Troy Brown Jr.,SF,6-6,215,"July 28, 1999",us,4,Oregon,LAL,https://www.basketball-reference.com/players/b/browntr01.html
4,21.0,Patrick Beverley,PG,6-1,180,"July 12, 1988",us,10,Arkansas,LAL,https://www.basketball-reference.com/players/b/beverpa01.html
5,12.0,Kendrick Nunn,PG,6-2,190,"August 3, 1995",us,2,"Illinois, Oakland",LAL,https://www.basketball-reference.com/players/n/nunnke01.html
6,6.0,LeBron James,PF,6-9,250,"December 30, 1984",us,19,,LAL,https://www.basketball-reference.com/players/j/jamesle01.html
7,35.0,Wenyen Gabriel,PF,6-9,205,"March 26, 1997",sd,3,Kentucky,LAL,https://www.basketball-reference.com/players/g/gabriwe01.html
8,3.0,Anthony Davis,C,6-10,253,"March 11, 1993",us,10,Kentucky,LAL,https://www.basketball-reference.com/players/d/davisan02.html
9,31.0,Thomas Bryant,C,6-10,248,"July 31, 1997",us,5,Indiana,LAL,https://www.basketball-reference.com/players/b/bryanth01.html
10,17.0,Dennis Schröder,PG,6-3,172,"September 15, 1993",de,9,,LAL,https://www.basketball-reference.com/players/s/schrode01.html
11,10.0,Max Christie,SG,6-6,190,"February 10, 2003",us,R,Michigan State,LAL,https://www.basketball-reference.com/players/c/chrisma02.html
12,30.0,Damian Jones,C,6-11,245,"June 30, 1995",us,6,Vanderbilt,LAL,https://www.basketball-reference.com/players/j/jonesda03.html
13,95.0,Juan Toscano-Anderson,SF,6-6,209,"April 10, 1993",us,3,Marquette,LAL,https://www.basketball-reference.com/players/t/toscaju01.html
14,14.0,Scotty Pippen Jr.,PG,6-3,185,"November 10, 2000",us,R,Vanderbilt,LAL,https://www.basketball-reference.com/players/p/pippesc02.html
15,20.0,Cole Swider,SF,6-9,220,"May 8, 1999",us,R,"Villanova, Syracuse",LAL,https://www.basketball-reference.com/players/s/swideco01.html
0,15.0,Brandon Clarke,PF,6-8,215,"September 19, 1996",ca,3,"San Jose State, Gonzaga",MEM,https://www.basketball-reference.com/players/c/clarkbr01.html
1,21.0,Tyus Jones,PG,6-0,196,"May 10, 1996",us,7,Duke,MEM,https://www.basketball-reference.com/players/j/jonesty01.html
2,7.0,Santi Aldama,PF,6-11,224,"January 10, 2001",es,1,Loyola (MD),MEM,https://www.basketball-reference.com/players/a/aldamsa01.html
3,27.0,David Roddy,PF,6-6,255,"March 27, 2001",us,R,Colorado State,MEM,https://www.basketball-reference.com/players/r/roddyda01.html
4,46.0,John Konchar,SG,6-5,210,"March 22, 1996",us,3,Purdue-Fort Wayne,MEM,https://www.basketball-reference.com/players/k/konchjo01.html
5,24.0,Dillon Brooks,SG,6-7,225,"January 22, 1996",ca,5,Oregon,MEM,https://www.basketball-reference.com/players/b/brookdi01.html
6,4.0,Steven Adams,C,6-11,265,"July 20, 1993",nz,9,Pitt,MEM,https://www.basketball-reference.com/players/a/adamsst01.html
7,12.0,Ja Morant,PG,6-3,174,"August 10, 1999",us,3,Murray State,MEM,https://www.basketball-reference.com/players/m/moranja01.html
8,3.0,Jake LaRavia,PF,6-8,235,"November 3, 2001",us,R,"Indiana State University, Wake Forest",MEM,https://www.basketball-reference.com/players/l/laravja01.html
9,2.0,Xavier Tillman Sr.,PF,6-8,245,"January 12, 1999",us,2,Michigan State,MEM,https://www.basketball-reference.com/players/t/tillmxa01.html
10,13.0,Jaren Jackson Jr.,C,6-11,242,"September 15, 1999",us,4,Michigan State,MEM,https://www.basketball-reference.com/players/j/jacksja02.html
11,22.0,Desmond Bane,SG,6-5,215,"June 25, 1998",us,2,TCU,MEM,https://www.basketball-reference.com/players/b/banede01.html
12,1.0,Kennedy Chandler,PG,6-0,171,"September 16, 2002",us,R,Tennessee,MEM,https://www.basketball-reference.com/players/c/chandke01.html
13,8.0,Ziaire Williams,SF,6-8,215,"September 12, 2001",us,1,Stanford,MEM,https://www.basketball-reference.com/players/w/willizi02.html
14,5.0,Vince Williams Jr.,SG,6-6,205,"August 30, 2000",us,R,VCU,MEM,https://www.basketball-reference.com/players/w/willivi01.html
15,6.0,Kenneth Lofton Jr.,PF,6-7,275,"August 14, 2002",us,R,Louisiana Tech,MEM,https://www.basketball-reference.com/players/l/loftoke01.html
16,,Danny Green,SG,6-6,215,"June 22, 1987",us,13,UNC,MEM,https://www.basketball-reference.com/players/g/greenda02.html
0,31.0,Max Strus,SF,6-5,215,"March 28, 1996",us,3,"Lewis (IL), DePaul",MIA,https://www.basketball-reference.com/players/s/strusma01.html
1,16.0,Caleb Martin,PF,6-5,205,"September 28, 1995",us,3,"NC State, Nevada",MIA,https://www.basketball-reference.com/players/m/martica02.html
2,13.0,Bam Adebayo,C,6-9,255,"July 18, 1997",us,5,Kentucky,MIA,https://www.basketball-reference.com/players/a/adebaba01.html
3,7.0,Kyle Lowry,PG,6-0,196,"March 25, 1986",us,16,Villanova,MIA,https://www.basketball-reference.com/players/l/lowryky01.html
4,14.0,Tyler Herro,SG,6-5,195,"January 20, 2000",us,3,Kentucky,MIA,https://www.basketball-reference.com/players/h/herroty01.html
5,21.0,Dewayne Dedmon,C,7-0,245,"August 12, 1989",us,9,USC,MIA,https://www.basketball-reference.com/players/d/dedmode01.html
6,55.0,Duncan Robinson,SF,6-7,215,"April 22, 1994",us,4,"Williams, Michigan",MIA,https://www.basketball-reference.com/players/r/robindu01.html
7,24.0,Haywood Highsmith,SF,6-7,220,"December 9, 1996",us,2,Wheeling University,MIA,https://www.basketball-reference.com/players/h/highsha01.html
8,22.0,Jimmy Butler,SF,6-7,230,"September 14, 1989",us,11,Marquette,MIA,https://www.basketball-reference.com/players/b/butleji01.html
9,2.0,Gabe Vincent,PG,6-3,200,"June 14, 1996",us,3,UC Santa Barbara,MIA,https://www.basketball-reference.com/players/v/vincega01.html
10,5.0,Nikola Jović,PF,6-10,209,"June 9, 2003",gb,R,,MIA,https://www.basketball-reference.com/players/j/jovicni01.html
11,4.0,Victor Oladipo,SG,6-4,213,"May 4, 1992",us,9,Indiana,MIA,https://www.basketball-reference.com/players/o/oladivi01.html
12,8.0,Jamal Cain,SF,6-7,191,"March 20, 1999",us,R,"Marquette, Oakland",MIA,https://www.basketball-reference.com/players/c/cainja01.html
13,25.0,Orlando Robinson,C,7-0,235,"July 10, 2000",us,R,Fresno State,MIA,https://www.basketball-reference.com/players/r/robinor01.html
14,40.0,Udonis Haslem,PF,6-8,235,"June 9, 1980",us,19,Florida,MIA,https://www.basketball-reference.com/players/h/hasleud01.html
15,,Omer Yurtseven,C,7-0,264,"June 19, 1998",tr,1,"NC State, Georgetown",MIA,https://www.basketball-reference.com/players/y/yurtsom01.html
0,9.0,Bobby Portis,PF,6-10,250,"February 10, 1995",us,7,Arkansas,MIL,https://www.basketball-reference.com/players/p/portibo01.html
1,5.0,Jevon Carter,PG,6-1,200,"September 14, 1995",us,4,West Virginia,MIL,https://www.basketball-reference.com/players/c/carteje01.html
2,11.0,Brook Lopez,C,7-0,282,"April 1, 1988",us,14,Stanford,MIL,https://www.basketball-reference.com/players/l/lopezbr01.html
3,12.0,Grayson Allen,SG,6-4,198,"October 8, 1995",us,4,Duke,MIL,https://www.basketball-reference.com/players/a/allengr01.html
4,3.0,George Hill,PG,6-4,188,"May 4, 1986",us,14,IUPUI,MIL,https://www.basketball-reference.com/players/h/hillge01.html
5,34.0,Giannis Antetokounmpo,PF,7-0,242,"December 6, 1994",gr,9,,MIL,https://www.basketball-reference.com/players/a/antetgi01.html
6,21.0,Jrue Holiday,PG,6-3,205,"June 12, 1990",us,13,UCLA,MIL,https://www.basketball-reference.com/players/h/holidjr01.html
7,13.0,Jordan Nwora,SF,6-8,225,"September 9, 1998",us,2,Louisville,MIL,https://www.basketball-reference.com/players/n/nworajo01.html
8,23.0,Wesley Matthews,SG,6-4,220,"October 14, 1986",us,13,Marquette,MIL,https://www.basketball-reference.com/players/m/matthwe02.html
9,0.0,MarJon Beauchamp,SF,6-6,199,"October 12, 2000",us,R,Yakima Valley Community College,MIL,https://www.basketball-reference.com/players/b/beaucma01.html
10,24.0,Pat Connaughton,SG,6-5,209,"January 6, 1993",us,7,Notre Dame,MIL,https://www.basketball-reference.com/players/c/connapa01.html
11,43.0,Thanasis Antetokounmpo,SF,6-6,219,"July 18, 1992",gr,4,,MIL,https://www.basketball-reference.com/players/a/antetth01.html
12,25.0,Serge Ibaka,PF,6-10,235,"September 18, 1989",cg,13,,MIL,https://www.basketball-reference.com/players/i/ibakase01.html
13,54.0,Sandro Mamukelashvili,C,6-11,240,"May 23, 1999",us,1,Seton Hall,MIL,https://www.basketball-reference.com/players/m/mamuksa01.html
14,20.0,A.J. Green,SG,6-4,200,"September 27, 1999",us,R,University of Northern Iowa,MIL,https://www.basketball-reference.com/players/g/greenaj01.html
15,22.0,Khris Middleton,SF,6-7,222,"August 12, 1991",us,10,Texas A&M,MIL,https://www.basketball-reference.com/players/m/middlkh01.html
16,7.0,Joe Ingles,SF,6-8,220,"October 2, 1987",au,8,,MIL,https://www.basketball-reference.com/players/i/inglejo01.html
0,1.0,Anthony Edwards,SG,6-4,225,"August 5, 2001",us,2,Georgia,MIN,https://www.basketball-reference.com/players/e/edwaran01.html
1,4.0,Jaylen Nowell,SG,6-4,201,"July 9, 1999",us,3,Washington,MIN,https://www.basketball-reference.com/players/n/nowelja01.html
2,0.0,D'Angelo Russell,PG,6-4,193,"February 23, 1996",us,7,Ohio State,MIN,https://www.basketball-reference.com/players/r/russeda01.html
3,3.0,Jaden McDaniels,PF,6-9,185,"September 29, 2000",us,2,Washington,MIN,https://www.basketball-reference.com/players/m/mcdanja02.html
4,27.0,Rudy Gobert,C,7-1,258,"June 26, 1992",fr,9,,MIN,https://www.basketball-reference.com/players/g/goberru01.html
5,11.0,Naz Reid,C,6-9,264,"August 26, 1999",us,3,LSU,MIN,https://www.basketball-reference.com/players/r/reidna01.html
6,5.0,Kyle Anderson,PF,6-9,230,"September 20, 1993",us,8,UCLA,MIN,https://www.basketball-reference.com/players/a/anderky01.html
7,25.0,Austin Rivers,SG,6-4,200,"August 1, 1992",us,10,Duke,MIN,https://www.basketball-reference.com/players/r/riverau01.html
8,32.0,Karl-Anthony Towns,PF,6-11,248,"November 15, 1995",us,7,Kentucky,MIN,https://www.basketball-reference.com/players/t/townska01.html
9,10.0,Bryn Forbes,SG,6-2,205,"July 23, 1993",us,6,Michigan State,MIN,https://www.basketball-reference.com/players/f/forbebr01.html
10,12.0,Taurean Prince,SF,6-7,218,"March 22, 1994",us,6,Baylor,MIN,https://www.basketball-reference.com/players/p/princta02.html
11,6.0,Jordan McLaughlin,PG,5-11,185,"April 9, 1996",us,3,USC,MIN,https://www.basketball-reference.com/players/m/mclaujo01.html
12,13.0,Nathan Knight,PF,6-10,253,"September 20, 1997",us,2,William & Mary,MIN,https://www.basketball-reference.com/players/k/knighna01.html
13,7.0,Wendell Moore Jr.,SG,6-5,213,"September 18, 2001",us,R,Duke,MIN,https://www.basketball-reference.com/players/m/moorewe01.html
14,55.0,Luka Garza,C,6-11,235,"December 27, 1998",us,1,Iowa,MIN,https://www.basketball-reference.com/players/g/garzalu01.html
15,37.0,Matt Ryan,SF,6-7,215,"April 17, 1997",us,1,"Notre Dame, Vanderbilt, Chattanooga",MIN,https://www.basketball-reference.com/players/r/ryanma01.html
16,8.0,Josh Minott,SF,6-8,205,"November 25, 2002",us,R,Memphis,MIN,https://www.basketball-reference.com/players/m/minotjo01.html
0,17.0,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt,10,,NOP,https://www.basketball-reference.com/players/v/valanjo01.html
1,4.0,Devonte' Graham,PG,6-1,195,"February 22, 1995",us,4,Kansas,NOP,https://www.basketball-reference.com/players/g/grahade01.html
2,15.0,Jose Alvarado,PG,6-0,179,"April 12, 1998",us,1,Georgia Tech,NOP,https://www.basketball-reference.com/players/a/alvarjo01.html
3,8.0,Naji Marshall,SF,6-7,220,"January 24, 1998",us,2,Xavier,NOP,https://www.basketball-reference.com/players/m/marshna01.html
4,25.0,Trey Murphy III,SF,6-9,206,"June 18, 2000",us,1,"Rice University, Virginia",NOP,https://www.basketball-reference.com/players/m/murphtr02.html
5,3.0,CJ McCollum,SG,6-3,190,"September 19, 1991",us,9,Lehigh,NOP,https://www.basketball-reference.com/players/m/mccolcj01.html
6,22.0,Larry Nance Jr.,PF,6-7,245,"January 1, 1993",us,7,Wyoming,NOP,https://www.basketball-reference.com/players/n/nancela02.html
7,1.0,Zion Williamson,PF,6-6,284,"July 6, 2000",us,2,Duke,NOP,https://www.basketball-reference.com/players/w/willizi01.html
8,11.0,Dyson Daniels,PG,6-8,199,"March 17, 2003",au,R,,NOP,https://www.basketball-reference.com/players/d/daniedy01.html
9,5.0,Herbert Jones,SF,6-8,210,"October 6, 1998",us,1,Alabama,NOP,https://www.basketball-reference.com/players/j/joneshe01.html
10,9.0,Willy Hernangómez,C,6-11,250,"May 27, 1994",es,6,,NOP,https://www.basketball-reference.com/players/h/hernawi01.html
11,14.0,Brandon Ingram,SF,6-8,190,"September 2, 1997",us,6,Duke,NOP,https://www.basketball-reference.com/players/i/ingrabr01.html
12,10.0,Jaxson Hayes,C,6-11,220,"May 23, 2000",us,3,Texas,NOP,https://www.basketball-reference.com/players/h/hayesja02.html
13,41.0,Garrett Temple,SG,6-5,195,"May 8, 1986",us,12,LSU,NOP,https://www.basketball-reference.com/players/t/templga01.html
14,13.0,Kira Lewis Jr.,PG,6-1,170,"April 6, 2001",us,2,Alabama,NOP,https://www.basketball-reference.com/players/l/lewiski01.html
15,0.0,Dereon Seabron,SG,6-7,180,"May 26, 2000",us,R,,NOP,https://www.basketball-reference.com/players/s/seabrde01.html
16,,E.J. Liddell,PF,6-7,240,"December 18, 2000",us,R,Ohio State,NOP,https://www.basketball-reference.com/players/l/liddeej01.html
0,30.0,Julius Randle,PF,6-8,250,"November 29, 1994",us,8,Kentucky,NYK,https://www.basketball-reference.com/players/r/randlju01.html
1,9.0,RJ Barrett,SG,6-6,214,"June 14, 2000",ca,3,Duke,NYK,https://www.basketball-reference.com/players/b/barrerj01.html
2,5.0,Immanuel Quickley,PG,6-3,190,"June 17, 1999",us,2,Kentucky,NYK,https://www.basketball-reference.com/players/q/quickim01.html
3,55.0,Isaiah Hartenstein,C,7-0,250,"May 5, 1998",us,4,,NYK,https://www.basketball-reference.com/players/h/harteis01.html
4,11.0,Jalen Brunson,PG,6-1,190,"August 31, 1996",us,4,Villanova,NYK,https://www.basketball-reference.com/players/b/brunsja01.html
5,23.0,Mitchell Robinson,C,7-0,240,"April 1, 1998",us,4,Western Kentucky,NYK,https://www.basketball-reference.com/players/r/robinmi01.html
6,45.0,Jericho Sims,C,6-10,245,"October 20, 1998",us,1,Texas,NYK,https://www.basketball-reference.com/players/s/simsje01.html
7,1.0,Obi Toppin,PF,6-9,220,"March 4, 1998",us,2,Dayton,NYK,https://www.basketball-reference.com/players/t/toppiob01.html
8,6.0,Quentin Grimes,SG,6-5,205,"May 8, 2000",us,1,"Kansas, Houston",NYK,https://www.basketball-reference.com/players/g/grimequ01.html
9,4.0,Derrick Rose,PG,6-3,200,"October 4, 1988",us,13,Memphis,NYK,https://www.basketball-reference.com/players/r/rosede01.html
10,2.0,Miles McBride,PG,6-2,200,"September 8, 2000",us,1,West Virginia,NYK,https://www.basketball-reference.com/players/m/mcbrimi01.html
11,0.0,Cam Reddish,SF,6-8,218,"September 1, 1999",us,3,Duke,NYK,https://www.basketball-reference.com/players/r/reddica01.html
12,13.0,Evan Fournier,SG,6-7,205,"October 29, 1992",fr,10,,NYK,https://www.basketball-reference.com/players/f/fournev01.html
13,17.0,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua,4,Kansas,NYK,https://www.basketball-reference.com/players/m/mykhasv01.html
14,51.0,Ryan Arcidiacono,PG,6-3,195,"March 26, 1994",us,5,Villanova,NYK,https://www.basketball-reference.com/players/a/arcidry01.html
15,3.0,Trevor Keels,SG,6-5,221,"August 26, 2003",us,R,Duke,NYK,https://www.basketball-reference.com/players/k/keelstr01.html
